Title,Organism,Type,Platform,Samples,Accession,FTP,Processing,Samples
Exon level expression profiling of colorectal cancer tissue samples,Homo sapiens,Expression profiling by array,GPL5175 GPL11028 333 Samples,333,"GSE24551	ID: 200024551","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24551/",,
Adaptation of a RAS pathway activation signature from FF to FFPE tissues in colorectal cancer,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL15048 GPL11154 GPL22404 326 Samples,326,"GSE86566	ID: 200086566","GEO (CEL, RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86566/",,
Overexpression of NUCKS1 in colorectal cancer correlates with recurrence after curative surgery,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,GPL570 GPL3720 311 Samples,311,"GSE27913	ID: 200027913",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27913/,,NUCKS1 in colorectal cancer
Classification by a gene expression profile can help to select oxaliplatin- or irinotecan-based regimen for first-line treatment of metastatic colorectal cancer: Translational research of the TRICOLORE study,Homo sapiens,Expression profiling by array,GPL6480 308 Samples,308,"GSE147571	ID: 200147571",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147571/,,
Gene expression signature as a predictor of recurrence in stage II Colorectal cancer,Homo sapiens,Expression profiling by array,GPL18709 300 Samples,300,"GSE58394	ID: 200058394",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58394/,,
Prognostic significance of overexpression of Traf2- and Nck- interacting kinase (TNIK) in colorectal cancer,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,GPL3720 GPL570 297 Samples,297,"GSE64258	ID: 200064258",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64258/,,Traf2- and Nck- interacting kinase (TNIK) in colorectal cancer
Gene expression profiling of multiregional primary colorectal cancer tissue samples,Homo sapiens,Expression profiling by array,GPL33696 286 Samples,286,"GSE241101	ID: 200241101",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241101/,,
Gene expression profiling of colorectal cancer liver metastases (CRLM).,Homo sapiens,Expression profiling by array,GPL17586 283 Samples,283,"GSE159216	ID: 200159216","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159216/",,
FABP4 overexpressed in intratumoral hepatic stellate cells within hepatocellular carcinoma with metabolic risk factors (part 1),Homo sapiens,Expression profiling by array,GPL570 257 Samples,257,"GSE102079	ID: 200102079",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102079/,,hepatocellular carcinoma with metabolic risk factors 
A SMAD4-modulated gene profile predicts disease-free survival in stage II and III colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 250 Samples,250,"GSE161158	ID: 200161158",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161158/,RMA + ComBat ,"stageI, II ,III, IV colorectal cancer"
Replacement of nitrite in meat products by natural bioactive compounds results in reduced exposure to N-nitroso compounds: the PHYTOME project,Homo sapiens,Expression profiling by array,GPL21061 216 Samples,216,"GSE147996	ID: 200147996",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147996/,,
"Gene expression data of patients presenting with concurrent colorectal adenomas and colorectal tumors, including adjacent tissue to the tumor",Homo sapiens,Expression profiling by array,GPL25373 208 Samples,208,"GSE117606	ID: 200117606","GEO (CEL, RDS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117606/",,
Colon biopsies from UC patients and healthy controls,Homo sapiens,Expression profiling by array,GPL1708 202 Samples,202,"GSE11223	ID: 200011223",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11223/,,
Comprehensive molecular characterization of liver cancer and inheritance of the phenotypic traits during tumor recurrence [tissue],Homo sapiens,Expression profiling by array,GPL570 198 Samples,198,"GSE112790	ID: 200112790",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112790/,, liver cancer 
Inherent gene signature of stage II and III colorectal cancer leads in individual recurrence,Homo sapiens,Expression profiling by array,GPL1291 198 Samples,198,"GSE12032	ID: 200012032",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12032/,,
ColoCare Project: Gene expression analysis in colorectal cancer and adjacent mucosa tissues,Homo sapiens,Expression profiling by array,GPL10558 194 Samples,194,"GSE106582	ID: 200106582",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106582/,,
Consensus molecular subtypes classification of colorectal cancer as a predictive factor for chemotherapeutic efficacy against metastatic colorectal cancer,Homo sapiens,Expression profiling by array,GPL6480 193 Samples,193,"GSE104645	ID: 200104645",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE104nnn/GSE104645/,,
Transcriptome analysis by expression microarrays  of colorectal cancer derived from the Cancer Institute Hospital of Japanese Foundation for Cancer Research.,Homo sapiens,Expression profiling by array,GPL570 190 Samples,190,"GSE101896	ID: 200101896",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101896/,,mRNA_ColorectalCancer
"Development of colorectal cancer gene expression signatures from expression profiles of embryonic development, precancer progression and cancer samples",Homo sapiens,Expression profiling by array,GPL6480 189 Samples,189,"GSE71187	ID: 200071187",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71187/,,
Gene expression signature and the prediction of liver metastasis in colorectal cancer by DNA microarray,Homo sapiens,Expression profiling by array,GPL570 189 Samples,189,"GSE14095	ID: 200014095",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14095/,,liver metastasis in colorectal cancer 
Transcription factor expression repertoire basis for epigenetic and transcriptional subtypes of colorectal cancers,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,GPL13534 GPL23976 GPL13158 188 Samples,188,"GSE233616	ID: 200233616","GEO (CEL, IDAT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233616/",,
Full genome expression profiling of primary colorectal cancer (CRC),Homo sapiens,Expression profiling by array,GPL16280 188 Samples,188,"GSE42284	ID: 200042284",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42284/,,
Gene expression profiling of colorectal cancer tissue samples.,Homo sapiens,Expression profiling by array,GPL17586 174 Samples,174,"GSE96528	ID: 200096528","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96528/",,
Time course analysis of colon cancer samples,Homo sapiens,Expression profiling by array,GPL6947 172 Samples,172,"GSE37182	ID: 200037182",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37182/,,
Exon level expression profiling of colorectal cancer tissue samples (validation sample series).,Homo sapiens,Expression profiling by array,GPL5175 GPL11028 167 Samples,167,"GSE24550	ID: 200024550","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24550/",,
Exon level expression profiling of colorectal cancer tissue samples (test sample series).,Homo sapiens,Expression profiling by array,GPL11028 GPL5175 166 Samples,166,"GSE24549	ID: 200024549","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE24nnn/GSE24549/",,
A Low-cost Multiplex Biomarker Assay Stratifies Colorectal Cancer Patient Samples into Clinically-relevant Subtypes,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL23782 GPL17586 GPL11154 159 Samples,159,"GSE101651	ID: 200101651","GEO (CEL, RCC, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101651/",,
Gene expression data from stage II and III treated and untreated colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL23985 156 Samples,156,"GSE103479	ID: 200103479","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103479/",,
Gene signature predictive of response to chemotherapy in mCRC,Homo sapiens,Expression profiling by RT-PCR; Expression profiling by array,GPL17954 GPL570 156 Samples,156,"GSE52847	ID: 200052847","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52847/",,chemotherapy in mCRC
"Exon array profiling detects EML4-ALK fusion in breast, colorectal and non-small cell lung cancers.",Homo sapiens,Expression profiling by array,GPL5188 153 Samples,153,"GSE16534	ID: 200016534",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16534/,,
Expression of mRNAs and lncRNAs in cancer revealed by microarray,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL19748 152 Samples,152,"GSE70880	ID: 200070880",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70880/,,
Prognostic significance of overexpression of Traf2- and Nck- interacting kinase (TNIK) in colorectal cancer [152 samples],Homo sapiens,Expression profiling by array,GPL570 152 Samples,152,"GSE71222	ID: 200071222",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71222/,,Traf2- and Nck- interacting kinase (TNIK) in colorectal cancer
SBV - Gene Expression Profiles of Lung Cancer Tumors - Adenocarcinomas and Squamous Cell Carcinomas,Homo sapiens,Expression profiling by array,GPL570 150 Samples,150,"GSE43580	ID: 200043580",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43580/,,Lung Cancer Tumors - Adenocarcinomas and Squamous Cell Carcinomas
Clinical Significance of Osteoprotegerin Expression in Human Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL570 148 Samples,148,"GSE21510	ID: 200021510",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21510/,,Osteoprotegerin Expression in Human Colorectal Cancer
Modeling oncogenic signaling in colon tumors by multidirectional analyses of microarray data,Homo sapiens,Expression profiling by array,GPL570 145 Samples,145,"GSE20916	ID: 200020916",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20916/,,"colon carcinomas, adenocarcinomas, and normal colon samples, Colon tumor"
Revealing and harnessing CD39 for the treatment of colorectal cancer and liver metastases by engineered T cells,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL19965 GPL24676 137 Samples,137,"GSE200133	ID: 200200133",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200133/,,
5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer,Homo sapiens,Expression profiling by array; Methylation profiling by array; Methylation profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,,137,"GSE47592	ID: 200047592",GEO (BED) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47592/,,
Prognosis of Stage III Colorectal Carcinomas with FOLFOX Adjuvant Chemotherapy can be Predicted by Molecular Subtype,Homo sapiens,Expression profiling by array,GPL10558 136 Samples,136,"GSE83889	ID: 200083889",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83889/,,
Distinct tumorigenic pathways within hereditary nonpolyposis colorectal cancer,Homo sapiens,Expression profiling by array,GPL14951 132 Samples,132,"GSE36335	ID: 200036335",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36335/,,
A seven-gene signature aggregates a subgroup of stage II colon cancers with stage III.,Homo sapiens,Expression profiling by array,GPL570 130 Samples,130,"GSE37892	ID: 200037892",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37892/,,stage II colon cancers with stage III.
"Mutated KRAS induces overexpression of DUSP4, a MAP-kinase phosphatase, and SMYD3, a histone methyltransferase, in rectal carcinomas",Homo sapiens,Expression profiling by array,GPL4133 130 Samples,130,"GSE20842	ID: 200020842",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20842/,,
Differential Gene Expression between African American and European American Colorectal Cancer Patients,Homo sapiens,Expression profiling by array,GPL1708 GPL4133 126 Samples,126,"GSE28000	ID: 200028000",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28000/,,
Gene and microRNA expression predictive of tumour response in patients treated with pCRT for LARC,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL10850 GPL6480 125 Samples,125,"GSE68204	ID: 200068204",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68204/,,
Prognostic significance of overexpression of Traf2- and Nck- interacting kinase (TNIK) in colorectal cancer [gene expression],Homo sapiens,Expression profiling by array,GPL570 125 Samples,125,"GSE64256	ID: 200064256",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64256/,,Traf2- and Nck- interacting kinase (TNIK) in colorectal cancer
Blood based expression of colorectal cancer and healthy controls,Homo sapiens,Expression profiling by array,GPL570 121 Samples,121,"GSE164191	ID: 200164191","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE164nnn/GSE164191/",,Blood signatures
Molecular Marker for predicting development of cancer in ulcerative colitis,Homo sapiens,Expression profiling by array,GPL570 121 Samples,121,"GSE3629	ID: 200003629",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3629/,MASS 5.0,"UC,CAC,S-CRC"
Gene expression analysis of lung adenocarcinoma and matched adjacent non-tumor lung tissue,Homo sapiens,Expression profiling by array,GPL6884 116 Samples,116,"GSE32863	ID: 200032863",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32863/,,
Overexpression of NUCKS1 in colorectal cancer correlates with recurrence after curative surgery (gene expression analysis),Homo sapiens,Expression profiling by array,GPL570 115 Samples,115,"GSE27854	ID: 200027854",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27854/,,"NUCKS1 in colorectal cancer, recurrence after curative surgery"
Cabozantinib enhances anti-PD1 efficacy and elicits a neutrophil-based immune response in murine models: implications for human HCC,Homo sapiens,Expression profiling by array,GPL13667 114 Samples,114,"GSE174570	ID: 200174570",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE174nnn/GSE174570/,,
Secondary Resistance to Anti-EGFR Therapy by Transcriptional Reprogramming in Patient-Derived Colorectal Cancer Models ,Homo sapiens,Expression profiling by array,GPL10332 114 Samples,114,"GSE140973	ID: 200140973",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140973/,,
"Gene expression signature in advanced colorectal cancer patients select drugs and response for the use of leucovorin, fluorouracil, and irinotecan",Homo sapiens,Expression profiling by array,GPL96 GPL97 114 Samples,114,"GSE62322	ID: 200062322",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62322/,,
Integrating chromosomal aberrations and gene expression profiles to dissect rectal cancer,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array; SNP genotyping by SNP array,GPL3676 GPL2641 114 Samples,114,"GSE12225	ID: 200012225","GEO (CEL, CHP, GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE12nnn/GSE12225/",,
NanoCMSer: A Clinically Applicable Stratification Tool for Stratification of Colorectal Cancer Samples [III],Homo sapiens,Expression profiling by array,GPL34276 113 Samples,113,"GSE261107	ID: 200261107",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261107/,,
Affymetrix expression data from colon cancer patient tissues,Homo sapiens,Expression profiling by array,GPL3921 111 Samples,111,"GSE44861	ID: 200044861",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44861/,,
Stage II and stage III colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 111 Samples,111,"GSE18105	ID: 200018105",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18105/,RMA,Stage II and stage III colorectal cancer
Decoding differentially regulated epithelial and stromal pathways in colorectal cancer,Homo sapiens,Expression profiling by array,GPL6104 110 Samples,110,"GSE31279	ID: 200031279",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE31nnn/GSE31279/,,
Methylation of Cancer Stem Cell-associated Wnt target genes predicts poor prognosis in colorectal cancer patients,Homo sapiens,Expression profiling by array,GPL570 108 Samples,108,"GSE33114	ID: 200033114",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33114/,,Methylation of Cancer Stem Cell
Plasma fatty acids depletion: a metabolic signature related to colon cancer,Homo sapiens,Expression profiling by array,GPL23159 107 Samples,107,"GSE267846	ID: 200267846",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE267nnn/GSE267846/,,
Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models,Homo sapiens,Expression profiling by array,GPL13158 106 Samples,106,"GSE100550	ID: 200100550",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100550/,,
Transcriptome analysis of fetal and adult liver samples,Homo sapiens,Expression profiling by array,GPL10558 106 Samples,106,"GSE61276	ID: 200061276",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61276/,,
Gene expression profiling of colorectal cancer tissue samples,Homo sapiens,Expression profiling by array,GPL17586 105 Samples,105,"GSE178120	ID: 200178120","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178120/",,
"Gene Expression Profiling Reveals a Massive, Aneuploidy-Dependent Transcriptional Deregulation and Distinct Differences between Lymph Node–Negative and Lymph Node–Positive Colon Carcinomas",Homo sapiens,Expression profiling by array,GPL1528 103 Samples,103,"GSE20970	ID: 200020970",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20970/,,
Global gene expression and Stromal contents improve prognostic power in PMP patients treated by CRS+HIPEC,Homo sapiens,Expression profiling by array,GPL10558 102 Samples,102,"GSE147762	ID: 200147762",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147762/,,
The COLCATS study: Identification of an anti-apoptotic druggable target signature for the treatment of colorectal cancer,Homo sapiens,Expression profiling by array; Third-party reanalysis,GPL570 101 Samples,101,"GSE39923	ID: 200039923","GEO (CEL, PDF, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39923/",,"colon cancer, colon cancer mouse xenograft, colon cancer cell line, and normal colon."
Four subgroups by gene expression profile correlate with biological and clinical features in colorectal cancer.,Homo sapiens,Expression profiling by array,GPL6480 100 Samples,100,"GSE33193	ID: 200033193",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33193/,,
Transcriptome profiling of colorectal cancer and paired normal tissues using Affymetrix HGU133-X3P arrays,Homo sapiens,Expression profiling by array,GPL1352 98 Samples,98,"GSE271719	ID: 200271719","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE271nnn/GSE271719/",,
"A Study of the Gene Expression of Colorectal Liver Metastases: Tumour, ‘Halo’ and Liver Parenchyma",Homo sapiens,Expression profiling by array,GPL6480 96 Samples,96,"GSE38174	ID: 200038174",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38174/,,
Human Transcriptome Array 2.0 (HTA) in matched colorectal cancer and normal colonic mucosa and in widely used cancer cell lines,Homo sapiens,Expression profiling by array,GPL17586 96 Samples,96,"GSE73360	ID: 200073360","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73360/",,
AMC colon cancer AJCCII,Homo sapiens,Expression profiling by array,GPL570 96 Samples,96,"GSE33113	ID: 200033113",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33113/,,"90 AJCC stage II CRC patients, and matching normal colon tissue from 6 of these patients"
Gene level expression profiling of colorectal cancer tissue samples (test sample series),Homo sapiens,Expression profiling by array,GPL5175 95 Samples,95,"GSE30378	ID: 200030378","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE30nnn/GSE30378/",,
Early-onset sporadic rectal cancer : Wnt- vs. Wnt+ rectal tumor,Homo sapiens,Expression profiling by array; Genome variation profiling by array,,93,"GSE79330	ID: 200079330","GEO (GPR, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79330/",,
High frequency of pathogenic germline variants in genes associated with homologous recombination repair in patients with advanced solid cancers,Homo sapiens,Expression profiling by array,GPL570 92 Samples,92,"GSE131027	ID: 200131027",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131027/,,"Breast cancer, Colorectal cancer, Bile duct cancer, Mesothelioma, Urothelial cancer, Pancreatic cancer, Melanoma,Hepatocellular carcinoma,Ovarian cancer,Cervical cancer,Head and Neck cancer,Sarcoma,Prostate cancer,Adenoid cystic carcinoma,NSCLC,Bile duct cancer,Thymoma,Renal cell carcinoma,CUP,vulvovaginal, etc, other"
Colorectal cancer initiation site,Homo sapiens,Expression profiling by array,GPL6244 92 Samples,92,"GSE97689	ID: 200097689","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97689/",,
The transcriptome of nonpolypoid and polypoid preinvasive lesions of the human large intestine,Homo sapiens,Expression profiling by array,GPL5175 92 Samples,92,"GSE21962	ID: 200021962",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE21nnn/GSE21962/,,
Clinical significance of gene signature generated from the grade of tumor budding in colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 91 Samples,91,"GSE143985	ID: 200143985","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143985/", MASS 5.0,85 primary colorectal tumour samples
Transcriptome analysis by expression microarrays of rectal cancer derived from the Cancer Institute Hospital of Japanese Foundation for Cancer Research,Homo sapiens,Expression profiling by array,GPL15207 91 Samples,91,"GSE109057	ID: 200109057",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109057/,,
A Low-Cost Multiplex Biomarker Assay Stratifies Colorectal Cancer Patient Samples into Clinically-Relevant Subtypes: Elements Chemistry,Homo sapiens,Expression profiling by array,GPL23782 91 Samples,91,"GSE101481	ID: 200101481",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101481/,,
DNA Methylation Profiling and Transcriptomic Changes in Signet Ring Cell Colorectal Cancer,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,GPL13534 GPL14951 90 Samples,90,"GSE79794	ID: 200079794",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79794/,,
APC colon stage II,Homo sapiens,Expression profiling by array,GPL570 90 Samples,90,"GSE26906	ID: 200026906",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26906/,,APC colon stage II
Gene expression signature and the prediction of lymph node metastases,Homo sapiens,Expression profiling by array,GPL570 89 Samples,89,"GSE4459	ID: 200004459",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE4nnn/GSE4459/,, lymph node metastases
Colorectal Cancer Concurrent Gene Signature Based on Coherent Patterns between Genomic and Transcriptional Alterations,Homo sapiens,Expression profiling by array,GPL10558 88 Samples,88,"GSE197802	ID: 200197802",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197802/,,
Time course analysis of colon cancer samples (part 1),Homo sapiens,Expression profiling by array,GPL6947 88 Samples,88,"GSE37175	ID: 200037175",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37175/,,
