"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","13/254","105/9446",0.123809523809524,4.60434945631796,6.1735886109628,4.36465086115361e-06,0.000100386969806533,8.77106871619387e-05,"CCL4/BCL2A1/CCL19/CXCL3/IL1B/CXCL8/CCL21/PTGS2/CXCL2/CXCL1/LY96/LYN/BIRC3",13
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","13/254","109/9446",0.119266055045872,4.43538250379253,5.99649534183934,6.64293201253455e-06,0.000140055149930937,0.0001223698002309,"CCL4/CCL3/CCL3L1/CCL3L3/CXCL9/CXCL11/IL1B/CXCL8/SPP1/LY96/MAP3K8/IL6/CTSK",13
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","11/254","79/9446",0.139240506329114,5.1782119007276,6.1989278111514,7.67545281272936e-06,0.000149376120124656,0.000130513772524143,"HLA-DOB/HLA-DMA/IL1B/PTGS2/NOS2/FCGR3B/LOC124905743/NCF2/FCGR3A/NCF1/IL1A",11
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","17/254","189/9446",0.0899470899470899,3.34504020330792,5.41326009501576,1.2639590641136e-05,0.000228415459443386,0.000199572483807411,"DEFA5/DEFB4A/DEFB4B/LOC124906748/DEFA6/CXCL3/IL1B/CXCL8/CXCL2/CARD6/GBP5/CXCL1/AIM2/BIRC3/IL6/GBP1/GBP2",17
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","8/254","50/9446",0.16,5.95023622047244,5.83380963292702,4.94149881059877e-05,0.000833466132720992,0.000728220877351397,"IL1B/SELE/CXCL8/PECAM1/THBS2/IL6/SELP/ACKR1",8
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","11/254","101/9446",0.108910891089109,4.05028455601466,5.12299841470284,8.01332176996847e-05,0.00126710650487626,0.00110710366558775,"EGR1/IL1B/COL4A1/SELE/CXCL8/MMP2/AGT/COL1A2/IL6/F3/IL1A",11
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","10/254","88/9446",0.113636363636364,4.22602004294918,5.05393565741998,0.000118200389382591,0.00175909991257621,0.00153697100745165,"C1R/SERPINA1/CFB/PLAUR/SERPING1/CFI/CD55/F3/C4BPB/C4BPA",10
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","11/254","116/9446",0.0948275862068965,3.52654086342655,4.55121477975923,0.000277969298404532,0.00390701291646371,0.00341365805058198,"JAM2/MMP9/CLDN2/ITK/MMP2/CDH5/PECAM1/THY1/NCF2/NCF1/RAPGEF4",11
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","13/254","159/9446",0.0817610062893082,3.04060813153073,4.31353457941477,0.00034723218675336,0.00462367069729474,0.00403982045530225,"C1R/TUBB6/HLA-DOB/TAP1/HLA-DMA/TCIRG1/FCGR3B/LOC124905743/CORO1A/THBS2/NCF2/FCGR3A/NCF1",13
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","14/254","182/9446",0.0769230769230769,2.86069049061175,4.21330977092924,0.000387949804758801,0.00490756503019884,0.00428786626312359,"CEBPB/HLA-DOB/HLA-DMA/IL1B/PPP3R1/TCIRG1/NOS2/FCGR3B/LOC124905743/CORO1A/IL10RA/FCGR3A/IL6/IL1A",14
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","12/254","142/9446",0.0845070422535211,3.14273039813685,4.27651188927213,0.000432824615724264,0.00521450608467804,0.0045560485865712,"MMP9/IL1B/SELE/MMP2/CDH5/ASS1/CAV2/CAV1/PECAM1/NCF2/NCF1/IL1A",12
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","12/254","143/9446",0.0839160839160839,3.12075326248555,4.2477552334151,0.000461407553394852,0.00530618686404079,0.00463615245037889,"LILRB2/IL1B/PPP3R1/SOCS1/SOCS3/FCGR3B/LOC124905743/NCF2/FCGR3A/NCF1/IL1A/CTSK",12
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","8/254","71/9446",0.112676056338028,4.1903071975158,4.48527289196105,0.000602224784450651,0.00662447262895716,0.00578797275673394,"JAM2/CXCL3/TCIRG1/CXCL8/CXCL2/CXCL1/LYN/CXCR2",8
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","7/254","56/9446",0.125,4.64862204724409,4.55200706091981,0.000704557015754094,0.00742720520774108,0.00648934093457718,"CXCL3/IL1B/CXCL8/CXCL2/BNIP3/CXCL1/IL6",7
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/254","45/9446",0.133333333333333,4.95853018372703,4.42451857729882,0.00120390369401205,0.012183505383402,0.0106450431891592,"HLA-DOB/HLA-DMA/IL1B/GZMB/IL6/IL1A",6
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","5/254","37/9446",0.135135135135135,5.02553734837199,4.07817464017528,0.00291439023371326,0.0283592588126714,0.0247782165619346,"IDO1/IL1B/SELE/APOL1/IL6",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","11/254","160/9446",0.06875,2.55674212598425,3.3012252710387,0.00389379424416372,0.0364862942138304,0.0318790172036796,"JAM2/HLA-DOB/CLDN2/HLA-DMA/SELE/CDH5/CDH3/SELL/MADCAM1/PECAM1/SELP",11
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","5/254","41/9446",0.121951219512195,4.53524102170156,3.77089455101574,0.00459262787141973,0.0414976732667569,0.0362575884585768,"MMP9/MMP1/CXCL8/MMP2/TYMP",5
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","8/254","100/9446",0.08,2.97511811023622,3.30060090491089,0.00541025779114191,0.0471998352123759,0.0412397145604283,"HLA-DOB/HLA-DMA/IL1B/CD38/CD19/CD55/IL6/IL1A",8
