"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","14/255","143/9446",0.0979020979020979,3.62660085013026,5.27157363234922,3.04303167661611e-05,0.000486885068258577,0.000407873017707843,"LILRB2/IL1B/IFNG/SOCS1/SOCS3/FCGR3B/LOC124905743/FYN/STAT1/NCF2/FCGR3A/NCF1/IL1A/CTSK",14
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","12/255","116/9446",0.103448275862069,3.83204868154158,5.11185557740118,6.58721535052742e-05,0.000988082302579113,0.000827735613125485,"RAC2/MMP9/CLDN1/CXCR4/ITK/CDH5/RASSF5/RHOH/PECAM1/THY1/NCF2/NCF1",12
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","8/255","56/9446",0.142857142857143,5.29187675070028,5.36535110972212,0.000116905126214975,0.00165042531127024,0.00138259313356411,"CXCL3/IL1B/CXCL8/CXCL2/BNIP3/CASP1/CXCL1/C3",8
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/255","50/9446",0.14,5.18603921568628,4.94318061381475,0.000356369130629127,0.00449599769771421,0.00376638403624304,"IL1B/IFNG/CXCL8/PECAM1/THBS2/SELP/ACKR1",7
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","13/255","159/9446",0.0817610062893082,3.02868417807374,4.29699620164767,0.000360624697285268,0.00449599769771421,0.00376638403624304,"C1R/TUBB6/HLA-DOB/TAP1/HLA-DMA/FCGR3B/LOC124905743/C3/CORO1A/THBS2/NCF2/FCGR3A/NCF1",13
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","8/255","66/9446",0.121212121212121,4.49007724301842,4.7390934849716,0.000374666474809517,0.00449599769771421,0.00376638403624304,"HLA-DOB/HLA-DMA/IL17A/IL1B/IFNG/IL21R/STAT1/IL1A",8
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","6/255","38/9446",0.157894736842105,5.84891640866873,4.98858675767703,0.000487497788769002,0.00557140330021717,0.00466727206290123,"ADA/TAP1/CD79A/CD3D/IL7R/CD19",6
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","15/255","216/9446",0.0694444444444444,2.57244008714597,3.89394506575947,0.000745387470706008,0.00784455485502429,0.00657153498820017,"CXCL3/MMP9/MMP1/MMP3/IL1B/CXCL8/CXCL2/CASP1/CXCL1/LY96/ERO1A/LYN/NCF2/NCF1/SELP",15
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","9/255","91/9446",0.0989010989010989,3.66360698125404,4.25264012949679,0.000751769840273161,0.00784455485502429,0.00657153498820017,"LILRB2/BANK1/RAC2/CD72/CD79A/DAPP1/CD19/LYN/CR2",9
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","6/255","44/9446",0.136363636363636,5.05133689839572,4.48646477795639,0.00108894629057236,0.0108894629057236,0.00912231322365444,"HLA-DOB/HLA-DMA/IL1B/GZMB/IFNG/IL1A",6
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","6/255","45/9446",0.133333333333333,4.93908496732026,4.4116826832231,0.00122853742332056,0.0114990897190633,0.00963300936991703,"HLA-DOB/HLA-DMA/IL1B/GZMB/IFNG/IL1A",6
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","13/255","182/9446",0.0714285714285714,2.64593837535014,3.73456205373339,0.00128774639178395,0.0114990897190633,0.00963300936991703,"CEBPB/HLA-DOB/HLA-DMA/IL1B/IFNG/NOS2/FCGR3B/LOC124905743/C3/CORO1A/STAT1/FCGR3A/IL1A",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","12/255","160/9446",0.075,2.77823529411765,3.77854471296088,0.00129364759339462,0.0114990897190633,0.00963300936991703,"CD274/HLA-DOB/CLDN1/HLA-DMA/CADM1/CDH5/CDH3/CD2/SELL/MADCAM1/PECAM1/SELP",12
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","11/255","142/9446",0.0774647887323944,2.86953880143607,3.73881083671519,0.00157584393390125,0.0135072337191535,0.0113152703524488,"RAC2/MMP9/IL1B/IFNG/CDH5/ASS1/CAV1/PECAM1/NCF2/NCF1/IL1A",11
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","15/255","238/9446",0.0630252100840336,2.33465150766189,3.47346872536062,0.00197545197243281,0.0163485680477198,0.0136955109522565,"C1R/TLR8/MMP1/MMP3/OAS2/IL1B/CFB/CXCL8/C5AR1/CASP1/C3/ISG15/STAT1/RPL22L1/SELP",15
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","13/255","196/9446",0.0663265306122449,2.45694277711084,3.4331229129916,0.00249698882603079,0.0199759106082463,0.0167342058165572,"TLR8/RAC2/FPR2/C5AR1/AQP9/CASP1/FCGR3B/LOC124905743/C3/NCF2/FCGR3A/NCF1/SELP",13
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","9/255","109/9446",0.0825688073394495,3.05860766324879,3.60058313539134,0.00268790096419833,0.0201592572314874,0.0168877988211145,"TLR8/CXCL9/CXCL11/IL1B/CXCL8/LY96/MAP3K8/STAT1/CTSK",9
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","9/255","109/9446",0.0825688073394495,3.05860766324879,3.60058313539134,0.00268790096419833,0.0201592572314874,0.0168877988211145,"IL2RA/HLA-DOB/HLA-DMA/IL17A/IL1B/IFNG/CD3D/IL21R/STAT1",9
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","13/255","201/9446",0.0646766169154229,2.39582479758072,3.33169447620761,0.00310816336866775,0.0226048244994018,0.0189364977166041,"DEFA5/DEFA6/CEBPB/BCL2A1/MMP9/MMP3/GZMB/CXCL8/NFKBIZ/HHEX/PLAU/FUT8/BIRC3",13
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","11/255","168/9446",0.0654761904761905,2.42544351073763,3.10503969280547,0.00578207823368705,0.0403028528336157,0.0337624775930728,"CSF2RB/IL2RA/IFNG/IL7R/SOCS1/IL13RA2/SOCS3/IL21R/OSMR/CSF3R/STAT1",11
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","8/255","101/9446",0.0792079207920792,2.93410988157639,3.25493159626519,0.00587749937156896,0.0403028528336157,0.0337624775930728,"IL1B/COL4A1/CXCL8/AGT/COL1A2/STAT1/F3/IL1A",8
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","11/255","173/9446",0.0635838150289017,2.3553439873059,2.99676124351373,0.00716960915514513,0.0477973943676342,0.0400407996676234,"HLA-DOB/OAS2/HLA-DMA/IL1B/IFNG/CXCL8/CASP1/IL33/SOCS3/STAT1/IL1A",11
