"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","3/7","109/9446",0.0275229357798165,37.1402359108781,10.3344545786608,5.05847684851312e-05,0.000257522457742486,0.000111334897144308,"CXCL11/IL1B/CXCL8",3
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","3/7","119/9446",0.0252100840336134,34.0192076830732,9.87088627422154,6.57674321920432e-05,0.000306914683562868,0.000132688678983947,"CXCL5/IL1B/CXCL1",3
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","3/7","144/9446",0.0208333333333333,28.1130952380952,8.92810288133667,0.000116119420595489,0.000500206734872878,0.00021625479139241,"IL1B/CXCL8/CXCL1",3
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","3/7","189/9446",0.0158730158730159,21.4195011337868,7.72196637192439,0.000260078691128202,0.00104031476451281,0.000449760142552529,"IL1B/CXCL8/CXCL1",3
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/7","41/9446",0.0487804878048781,65.8257839721254,11.3278454235542,0.000380741282010758,0.00142143411950683,0.000614529788508592,"MMP1/CXCL8",2
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","3/7","238/9446",0.0126050420168067,17.0096038415366,6.81198082377841,0.000512894635438298,0.00179513122403404,0.000776090566781636,"MMP1/IL1B/CXCL8",3
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","2/7","50/9446",0.04,53.9771428571429,10.2279604168185,0.000566983325715377,0.00186770977882712,0.000807468513402704,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","2/7","71/9446",0.028169014084507,38.0120724346076,8.52459878208143,0.0011416538098936,0.00355181185300231,0.00153555775599724,"CXCL8/CXCL1",2
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","2/7","101/9446",0.0198019801980198,26.7213578500707,7.0770446187832,0.00229554880874568,0.00668117564899409,0.00288847819411399,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","2/7","103/9446",0.0194174757281553,26.2024965325936,7.00335287774949,0.00238613416035503,0.00668117564899409,0.00288847819411399,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","2/7","138/9446",0.0144927536231884,19.5569358178054,5.98004744516585,0.00424100721281906,0.0113093525675175,0.00488938174911471,"IL1B/CXCL8",2
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","2/7","157/9446",0.0127388535031847,17.1901728844404,5.57062391380485,0.00545715050827311,0.0138909285665134,0.00600547663589864,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","2/7","173/9446",0.0115606936416185,15.6003303055326,5.27791766239412,0.00659248802642204,0.0160512751947667,0.00693946108044425,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","2/7","196/9446",0.0102040816326531,13.7696793002915,4.91953628181959,0.00839879528992184,0.0195971890098176,0.0084724689328159,"CXCL8/CXCL1",2
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","2/7","203/9446",0.00985221674876847,13.2948627726953,4.82227792079561,0.00898862370016515,0.0201345170883699,0.0087047724254231,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","2/7","227/9446",0.00881057268722467,11.8892385147892,4.52226012485298,0.0111499652551032,0.0240153097802223,0.0103825587395698,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","2/7","251/9446",0.00796812749003984,10.7524188958452,4.26442370973375,0.013522076745307,0.0274581618607562,0.0118710098270186,"IL1B/CXCL8",2
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","2/7","253/9446",0.00790513833992095,10.6674195369848,4.24452606339395,0.0137290809303781,0.0274581618607562,0.0118710098270186,"IL1B/CXCL8",2
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","1/7","30/9446",0.0333333333333333,44.9809523809524,6.57020681013038,0.0220278609316752,0.0425365590404762,0.0183898657505818,"IL1B",1
