Title,Organism,Type,Platform,Samples,Accession,FTP,Data Processing,Samples,
Targeted ileal transcriptomic analysis in paediatric IBDs.,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 96 Samples,96,"GSE153974	ID: 200153974","GEO (XLS, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153974/",,,
RNA profiles in serum and urine extracellular vesicles of patients with cholangiocarcinoma mimicking tumor expression: novel liquid biopsy approach,Homo sapiens,Expression profiling by array,GPL14951 96 Samples,96,"GSE144521	ID: 200144521",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE144nnn/GSE144521/,,,
Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease [1],Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 96 Samples,96,"GSE95435	ID: 200095435",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95435/,,,
Transcriptomic landscape of lncRNAs in Inflammatory Bowel Disease,Homo sapiens,Non-coding RNA profiling by array,GPL19920 96 Samples,96,"GSE67106	ID: 200067106",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67106/,,,
MiRNA Profiling of Colonic Epithelial Cell Populations by Next Generation Sequencing,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL20301 94 Samples,94,"GSE185101	ID: 200185101","GEO (TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185101/",,,
The transcription start site and enhancer landscape of the descending colon in inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 94 Samples,94,"GSE95437	ID: 200095437",GEO (BED) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95437/,,,
Prediction of Golimumab Response in the PROgECT Phase 2a Open-Label Trial of Patients With Ulcerative Colitis,Homo sapiens,Expression profiling by array,GPL570 84 Samples,84,"GSE212849	ID: 200212849",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212849/,,Treatment - Golimumab,
PGLYRP-1 mediated intracellular peptidoglycan detection promotes mucosal protection,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,GPL18573 GPL19057 82 Samples,82,"GSE279626	ID: 200279626",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE279nnn/GSE279626/,,,
Allele-Specific Methylation Occurs at Genetic Variants Associated with Complex Disease,Homo sapiens,Methylation profiling by high throughput sequencing,GPL9186 82 Samples,82,"GSE56298	ID: 200056298",GEO (TAB) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56298/,,,
SARS-COV2 in intestinal organoids,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 81 Samples,81,"GSE208684	ID: 200208684",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208684/,,,
In-depth transcriptomic analyses investigating molecular mechanisms underlying diabetic retinopathy (smallRNA),Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL20301 79 Samples,79,"GSE160308	ID: 200160308",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160308/,,,
In-depth transcriptomic analyses investigating molecular mechanisms underlying diabetic retinopathy (totalRNA),Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 79 Samples,79,"GSE160306	ID: 200160306",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160306/,,,
p53 In Inflamatory Stress Response,Homo sapiens,Expression profiling by array,GPL1528 79 Samples,79,"GSE3176	ID: 200003176",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3176/,,,
Transcriptomic profiling of collagenous colitis identifies hallmarks of non-destructive inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 78 Samples,78,"GSE159010	ID: 200159010",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159010/,,,
Ileal pouch transcriptomics reveal shared pathogenesis between pouchitis and ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 77 Samples,77,"GSE81266	ID: 200081266",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81266/,,,
MiRNA Profiling of Colon Tissue by Next Generation Sequencing,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL20301 76 Samples,76,"GSE185102	ID: 200185102","GEO (TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185102/",,,
A systems biology approach identifies ANP32E and other biomarkers of glucocorticoid refractoriness in ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,GPL15456 GPL14951 76 Samples,76,"GSE114603	ID: 200114603",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114603/,,,
Gene expression of baseline biopsies from etrolizumab-treated ulcerative colitis (UC) patients,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 73 Samples,73,"GSE72819	ID: 200072819",GEO (TAB) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72819/,,,
DNA methylation in Crohns' disease and ulcerative colitis,Homo sapiens,Methylation profiling by genome tiling array,GPL13534 73 Samples,73,"GSE32149	ID: 200032149",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32149/,,,
DNA methyltransferase 3A controls intestinal epithelial barrier function and regeneration in the colon,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing; Methylation profiling by genome tiling array,,72,"GSE210763	ID: 200210763","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE210nnn/GSE210763/",,,
Integrated Analysis Of Biopsies From Inflammatory Bowel Disease Patients Identifies SAA1 As A Link Between Mucosal Microbes With TH17 And TH22 Cells,Homo sapiens,Expression profiling by array,GPL13607 68 Samples,68,"GSE97012	ID: 200097012",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97012/,,,
Contribution of Stroma to Inflammatory Bowel Disease Progression Revealed in Patient-Derived Human Colon Chips,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 66 Samples,66,"GSE277964	ID: 200277964",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE277nnn/GSE277964/,,,
Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis -  whole tissue scRNA-Seq,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 62 Samples,62,"GSE190564	ID: 200190564",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE190nnn/GSE190564/,,,
MicroRNAs Expression in the Ileal Pouch of Patients with Ulcerative Colitis is Robustly Up-Regulated and Correlates with Disease phenotypes,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL16791 61 Samples,61,"GSE84779	ID: 200084779",GEO (XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84779/,,,
Colon tissue gene expression associated with vedolizumab treatment effectiveness in ulcerative colitis.,Homo sapiens,Expression profiling by high throughput sequencing,GPL32271 60 Samples,60,"GSE282580	ID: 200282580",GEO (XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE282nnn/GSE282580/,,,
"Cell-free DNA comprises an in vivo, genome-wide nucleosome footprint that informs its tissue(s)-of-origin",Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,GPL11154 60 Samples,60,"GSE71378	ID: 200071378",GEO (BB) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71378/,,,
